crop_category,soil_category,rainfall_category,Pathway,NH4_load,P_load
7.0,2,0,1,1.254467383653459e-05,1.447976219381573e-06
7.0,2,1,0,0.0001539643965004,6.649716767933552e-06
7.0,2,1,1,1.436657573774676e-05,1.5872924908785287e-06
7.0,2,2,0,0.000209030588965,9.072869395861078e-06
7.0,2,2,1,2.157477096045784e-05,2.3198398223887115e-06
7.0,2,3,0,0.0003021793136498,1.3716973018721236e-05
7.0,2,3,1,3.120269758167026e-05,3.266312952053735e-06
7.0,2,4,0,0.0004495622354347,2.113427361505725e-05
7.0,2,4,1,3.901982897868165e-05,3.92094560142004e-06
7.0,2,5,0,0.0006494070694869,2.871099287391548e-05
7.0,2,5,1,7.871630340055945e-05,7.380382310847096e-06
8.0,0,0,0,,2.7279261385296e-06
8.0,0,0,1,1.2710925957055672e-05,4.380238372441633e-06
8.0,0,1,0,,3.6673808021486e-06
8.0,0,1,1,1.1325975464251108e-05,3.736821331278309e-06
8.0,0,2,0,,5.2830282050684e-06
8.0,0,2,1,2.4750480837483466e-05,7.432302316434285e-06
8.0,0,3,0,,7.707875456499321e-06
8.0,0,3,1,3.392955733554445e-05,9.75000878537535e-06
8.0,0,4,0,,1.1550361022498698e-05
8.0,0,4,1,4.707953309250649e-05,1.2461239111257632e-05
8.0,0,5,0,,1.76791939065202e-05
8.0,0,5,1,8.920711122596846e-05,2.115984209105901e-05
8.0,1,0,0,6.876151176287165e-05,2.6074981447444343e-05
8.0,1,0,1,2.0153426951772342e-05,6.693444020265689e-06
8.0,1,1,0,8.591664811675689e-05,2.946703125530518e-05
8.0,1,1,1,1.6253253550406018e-05,5.245070347760168e-06
8.0,1,2,0,0.000107882874126,3.270583104250598e-05
8.0,1,2,1,2.70706080708148e-05,8.145387836622424e-06
8.0,1,3,0,0.0001532623243942,4.105811439644414e-05
8.0,1,3,1,4.327182016601072e-05,1.2155121190860388e-05
8.0,1,4,0,0.0002136795791254,5.13821290817968e-05
8.0,1,4,1,5.741124805313384e-05,1.6007745492303307e-05
8.0,1,5,0,0.0002744797348685,6.039978720577046e-05
8.0,1,5,1,0.0001091990337239,2.571708431490941e-05
8.0,2,0,0,0.0001164550050905,4.468705253609785e-05
8.0,2,0,1,1.1133951491474584e-05,4.018798496106517e-06
8.0,2,1,0,0.000148301659368,4.770038890347522e-05
8.0,2,1,1,1.2389881733285656e-05,4.120386023283988e-06
8.0,2,2,0,0.0001870174104512,5.316297320154762e-05
8.0,2,2,1,1.7767693128345305e-05,5.56265872265611e-06
8.0,2,3,0,0.000248440934203,6.256661938401176e-05
8.0,2,3,1,2.434866614170339e-05,7.266915009277912e-06
8.0,2,4,0,0.0003469446851493,7.787883376798483e-05
8.0,2,4,1,2.872619336547046e-05,8.089833738794687e-06
8.0,2,5,0,0.0004984145086164,9.74004915762548e-05
8.0,2,5,1,5.722805580334929e-05,1.4594083038120028e-05
9.0,0,0,0,,2.7279261385296e-06
9.0,0,0,1,3.7097473143305416e-06,1.3624052258600028e-06
9.0,0,1,0,,3.6673808021486e-06
9.0,0,1,1,3.1530291383752506e-06,1.3234496525376571e-06
9.0,0,2,0,,7.897001884123134e-06
